length,model,gauge,sequence,absrel,rmse,delta1,temporal_delta,opw,tce,failed,catastrophic,n
8,sparse_k5,none,rgbd_dataset_freiburg3_sitting_xyz,0.09732568570766006,0.5194728234409305,0.9009620329131343,0.1317263719226633,0.013115388069498224,0.02598858009871491,0,0,152
8,sparse_k5,none,rgbd_dataset_freiburg3_walking_rpy,0.30474475008732577,1.681287172433657,0.6804653900666884,0.23953077392209143,0.05388800725914871,0.07019671164448156,0,2,108
8,sparse_k5,none,rgbd_dataset_freiburg3_walking_xyz,0.21890003890654405,1.1295906160176408,0.7619597817948202,0.2465576257933856,0.04739243129158346,0.06250075043447455,0,0,103
8,sparse_k5,median,rgbd_dataset_freiburg3_sitting_rpy,0.18178905914610446,1.2659975771934309,0.7836924817779641,0.23828593668397544,0.03902036349580262,0.051219016490082085,0,1,99
8,sparse_k5,median,rgbd_dataset_freiburg3_sitting_xyz,0.06432073161654604,0.48334965276748254,0.9468425209820676,0.13109237949987104,0.012903641002690317,0.02583100637331135,0,0,152
8,sparse_k5,median,rgbd_dataset_freiburg3_walking_rpy,0.28086612973808894,1.5587020667195854,0.67857702838723,0.27833367690995886,0.057336074620485566,0.07355948394849492,0,0,108
8,sparse_k5,median,rgbd_dataset_freiburg3_walking_xyz,0.18339917432230313,1.070832657663762,0.7900780310310239,0.24641082889494717,0.04556260628562678,0.060794933512308184,0,0,103
8,sparse_k5,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.14197741982330764,2.0603521488089886,0.7986213329307363,0.13061514100084057,0.02166247583541373,0.035019917398384705,1,0,99
8,sparse_k5,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.06392996981396173,0.5073554290560955,0.9480923777722958,0.1272769962836589,0.012641847748064542,0.02568305161062324,0,0,152
8,sparse_k5,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.3933590239650534,20.613423332915875,0.6395654259616128,0.6379089056164342,0.1192603101158293,0.13663436755836417,5,2,108
8,sparse_k5,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.17546742260086015,1.21522531607394,0.7677100073132862,0.24331676742984254,0.0327625074786002,0.04887956695863627,0,0,103
8,dense_carry,none,rgbd_dataset_freiburg3_sitting_rpy,0.21088167702274313,1.5576618131526703,0.7547053884438564,0.16743761933211124,0.029017322327210538,0.04179585858357335,0,0,99
8,dense_carry,none,rgbd_dataset_freiburg3_sitting_xyz,0.09673436873807101,0.4916486106438759,0.9025589427776384,0.061841295737969246,0.010448803794688087,0.023966281131441492,0,0,152
8,dense_carry,none,rgbd_dataset_freiburg3_walking_rpy,0.3051721810612068,1.6723094648766008,0.6824407399931116,0.21421124354477913,0.05132658783827406,0.06764319343758232,0,2,108
8,dense_carry,none,rgbd_dataset_freiburg3_walking_xyz,0.22983446571389715,1.1653470891180684,0.7606588117059228,0.17439505139600883,0.037542706433150705,0.05284116474707119,0,0,103
8,dense_carry,median,rgbd_dataset_freiburg3_sitting_rpy,0.18112066507218458,1.2448449526644305,0.7842696846354066,0.22059890894490747,0.03636678999446415,0.048699214700121056,0,1,99
8,dense_carry,median,rgbd_dataset_freiburg3_sitting_xyz,0.06339589972127452,0.45406090619437983,0.949517901633462,0.061151363949914626,0.010246270493653169,0.02381560025394293,0,0,152
8,dense_carry,median,rgbd_dataset_freiburg3_walking_rpy,0.28023931658103496,1.5420843123254262,0.6807566926950687,0.2491274763627973,0.05471022042304079,0.07094315395684185,0,0,108
8,dense_carry,median,rgbd_dataset_freiburg3_walking_xyz,0.19285258984836176,1.1019052003211185,0.7876298521570344,0.17286804372163156,0.035588948245865996,0.05102596011486355,0,0,103
8,dense_carry,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.1425317337200313,2.0645489608578482,0.7987308797549568,0.12658449830581445,0.02078379902771586,0.03421672346920071,1,0,99
8,dense_carry,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.06341853687028495,0.4808704492150446,0.9505566964172802,0.059425106160062593,0.010032441415129087,0.02369785764588729,0,0,152
8,dense_carry,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.43405181465040027,22.13077553997352,0.6394257636802273,0.5575299776065602,0.12087074805773246,0.13823699917300405,6,2,108
8,dense_carry,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.18080323715590493,1.2792589651686763,0.7584198467119821,0.18778778501009974,0.026411469994729216,0.04277172749104817,0,0,103
8,dense_reset,none,rgbd_dataset_freiburg3_sitting_rpy,0.21830685203240321,1.5961887564576458,0.7417221145142282,0.20108701563930786,0.03605266698520448,0.04865252566931298,0,0,99
8,dense_reset,none,rgbd_dataset_freiburg3_sitting_xyz,0.09672519432707918,0.501686700891945,0.9022616503970574,0.06421110885483879,0.011686179276512863,0.025259328369690713,0,0,152
8,dense_reset,none,rgbd_dataset_freiburg3_walking_rpy,0.3070583169401713,1.6917349294862185,0.6744359312906739,0.24246783992127766,0.06194351718637312,0.07803424556420477,0,2,108
8,dense_reset,none,rgbd_dataset_freiburg3_walking_xyz,0.22871960910249617,1.1805890261361347,0.7546434951325716,0.20765285572132688,0.046028840276999744,0.06112136790212687,0,0,103
8,dense_reset,median,rgbd_dataset_freiburg3_sitting_rpy,0.18621350722565108,1.238905984446763,0.7791848595184766,0.27611359321709833,0.046443949256759445,0.0585457642852446,0,1,99
8,dense_reset,median,rgbd_dataset_freiburg3_sitting_xyz,0.0638367416673139,0.4658218146252442,0.9485373938537053,0.06355120338275469,0.01148031844627777,0.025096654086816494,0,0,152
8,dense_reset,median,rgbd_dataset_freiburg3_walking_rpy,0.28136348552718005,1.5408771299636748,0.6755312370278531,0.2879289139909719,0.06622702295437129,0.08219720705667605,0,0,108
8,dense_reset,median,rgbd_dataset_freiburg3_walking_xyz,0.19232800022175192,1.118558443111006,0.7838146356530796,0.2077319428593375,0.04408261957416885,0.05929198967157072,0,0,103
8,dense_reset,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.14490924385986914,1.2422225854007938,0.7924181372384677,0.13702274861639369,0.022924198285289996,0.03628174115579263,1,0,99
8,dense_reset,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.06325655033765935,0.4887287988613757,0.9493136284329953,0.06199268628387971,0.011239827784912133,0.024939889244238594,0,0,152
8,dense_reset,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.31735110592906024,17.58447255091885,0.6328386621325434,0.6258108161251854,0.08415919623117192,0.10126627772790435,6,2,108
8,dense_reset,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.18064927361490526,1.41644862498783,0.7549115583776076,0.17522756077462856,0.031151308784530457,0.04730701304161634,1,0,103
8,output_hold,none,rgbd_dataset_freiburg3_sitting_rpy,0.21882867004816858,1.5961320997557085,0.7416697167520584,0.18590400694828468,0.03381403917425992,0.04645714117179426,0,0,99
8,output_hold,none,rgbd_dataset_freiburg3_sitting_xyz,0.09838196248543564,0.5146787412921024,0.8995690200883455,0.04107180512248743,0.012417289208888389,0.025273638761619175,0,0,152
8,output_hold,none,rgbd_dataset_freiburg3_walking_rpy,0.30851080816619225,1.6971736582726622,0.6728763282398409,0.2216634979944617,0.058744863445815025,0.0750473370863955,0,2,108
8,output_hold,none,rgbd_dataset_freiburg3_walking_xyz,0.22811170145596663,1.17721782537983,0.7566599704637896,0.1775522268397912,0.04237912463653056,0.05747970615342462,0,0,103
8,output_hold,median,rgbd_dataset_freiburg3_sitting_rpy,0.1867940585306126,1.2491749169775304,0.7780678769633279,0.25604028028837833,0.043333478081749546,0.055549213883776254,0,1,99
8,output_hold,median,rgbd_dataset_freiburg3_sitting_xyz,0.06550288541899117,0.47834828687559927,0.9447347669046463,0.04061007647815268,0.012211559013567706,0.025123492174184813,0,0,152
8,output_hold,median,rgbd_dataset_freiburg3_walking_rpy,0.2834495937291887,1.5490082223279091,0.6731665263334827,0.26399378157738185,0.062467882670546815,0.07865606323226904,0,0,108
8,output_hold,median,rgbd_dataset_freiburg3_walking_xyz,0.1927633771781448,1.1142737799964821,0.7862094000240719,0.17793097440314823,0.040606823008485816,0.055819690259065066,0,0,103
8,output_hold,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.14540175793541152,1.2433613688675118,0.7904654063728064,0.12317938977969382,0.021522225267371894,0.03493147581716922,1,0,99
