scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_existing_13,dense_carry,none,rgbd_bonn_crowd2,0.1684993897338267,0.3928607753471117,0.8344894395216792,0.03227147533583046,0,0,3
L256_existing_13,dense_carry,none,rgbd_bonn_person_tracking2,0.1034399883090386,0.3935821472562628,0.8922208726284394,0.019781040046130398,0,0,2
L256_existing_13,dense_carry,none,rgbd_bonn_static_close_far,0.3360293623525332,1.218890902427985,0.3424702535343442,0.014933324918546159,0,0,6
L256_existing_13,dense_carry,none,rgbd_dataset_freiburg3_walking_static,0.17941212230748088,0.8921511543755931,0.8364958426497237,0.034601769445563216,0,0,2
L256_existing_13,dense_carry,median,rgbd_bonn_crowd2,0.16907697000257343,0.3940431639419321,0.8317411417319999,0.03259922037221082,0,0,3
L256_existing_13,dense_carry,median,rgbd_bonn_person_tracking2,0.10636691082862992,0.38249216427699934,0.9043977590510215,0.020374208108215178,0,0,2
L256_existing_13,dense_carry,median,rgbd_bonn_static_close_far,0.2243592693323795,0.5567930908476569,0.7548483888105499,0.01695765360108125,0,0,6
L256_existing_13,dense_carry,median,rgbd_dataset_freiburg3_walking_static,0.16880813398294478,0.9198441734812517,0.8320433501310125,0.03606795478290741,0,0,2
L256_existing_13,dense_carry,scaleshift,rgbd_bonn_crowd2,0.15404310510042624,0.41163677177590824,0.8145298603330577,0.03495311764046556,0,0,3
L256_existing_13,dense_carry,scaleshift,rgbd_bonn_person_tracking2,0.10110769478765663,0.3974505477320167,0.9148579241793736,0.01927146753824563,0,0,2
L256_existing_13,dense_carry,scaleshift,rgbd_bonn_static_close_far,0.21733405916914222,0.8831743155395175,0.6702630529507314,0.022733170291069884,0,0,6
L256_existing_13,dense_carry,scaleshift,rgbd_dataset_freiburg3_walking_static,0.18864705005056712,0.9527529323160727,0.789618567254937,0.0331922220398556,0,0,2
L256_existing_13,dense_reset,none,rgbd_bonn_crowd2,0.17549774166386425,0.4044381098090112,0.8334392573106439,0.035239765676433915,0,0,3
L256_existing_13,dense_reset,none,rgbd_bonn_person_tracking2,0.10076471651912507,0.39027313035447053,0.9036057948768741,0.022621694932601563,0,0,2
L256_existing_13,dense_reset,none,rgbd_bonn_static_close_far,0.32327514243905814,1.2025186663217768,0.3660074055869426,0.016789136029405034,0,0,6
