scope,left,right,gauge,metric,left_equal_sequence,right_equal_sequence,difference,ci_low,ci_high,sign_flip_p,sequence_n,bootstrap_draws,sign_flip_draws
L256_existing_13,sparse_k30,sparse_k10,median,tce,0.03096588451420441,0.031942262497134014,-0.0009763779829296045,-0.0016553464376434929,-0.00027276713337538033,0.25,4,256,16
L256_existing_13,sparse_k30,sparse_k10,scaleshift,absrel,0.19561255925425772,0.171892086936974,0.023720472317283723,0.00806387683620096,0.0475913445662094,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,scaleshift,delta1,0.7694981567403546,0.7911019121090404,-0.021603755368685723,-0.02738556501380096,-0.01497566463193506,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,scaleshift,tce,0.04117175586625255,0.037702734408570956,0.0034690214576815932,-0.0016296170371389376,0.012875455861865844,1.0,4,256,16
L256_existing_13,sparse_k30,sparse_k60,none,absrel,0.21156499195892076,0.2211649729614209,-0.009599981002500167,-0.014374617484357283,-0.00303014998705909,0.25,4,256,16
L256_existing_13,sparse_k30,sparse_k60,none,delta1,0.6874809946881731,0.6727569572328654,0.014724037455307773,0.0063752564763285,0.023072818434287046,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k60,none,tce,0.029448581163080932,0.029063721762568974,0.0003848594005119617,0.00023898072670342461,0.0005935977673145352,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k60,median,absrel,0.18415260957921256,0.19657117639723995,-0.012418566818027384,-0.017023458549998358,-0.00712486775215062,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k60,median,delta1,0.7963817754394071,0.7769272457103132,0.019454529729093895,0.01149378040433019,0.027064777351566427,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k60,median,tce,0.03096588451420441,0.030726879906069197,0.00023900460813521592,3.49718833581366e-05,0.00044303733291229525,0.25,4,256,16
L256_existing_13,sparse_k30,sparse_k60,scaleshift,absrel,0.19561255925425772,0.19336723252508864,0.0022453267291690712,-0.01089349543890171,0.02023796635868766,0.875,4,256,16
L256_existing_13,sparse_k30,sparse_k60,scaleshift,delta1,0.7694981567403546,0.7481951290974951,0.021303027642859546,0.012960189360081364,0.028698144270244308,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k60,scaleshift,tce,0.04117175586625255,0.03659970818471078,0.004572047681541774,2.8487560522108546e-05,0.012814379439604374,0.125,4,256,16
L256_existing_13,sparse_k30,delta_sp,none,absrel,0.21156499195892076,0.2114827115510171,8.228040790365238e-05,-0.0001220487863794889,0.00028660960218679365,0.625,4,256,16
L256_existing_13,sparse_k30,delta_sp,none,delta1,0.6874809946881731,0.687408488765304,7.250592286911495e-05,-0.00029482879304998377,0.00041523867764947653,1.0,4,256,16
L256_existing_13,sparse_k30,delta_sp,none,tce,0.029448581163080932,0.02943148871700354,1.7092446077397044e-05,-2.42220839823757e-05,7.213548795447292e-05,0.875,4,256,16
L256_existing_13,sparse_k30,delta_sp,median,absrel,0.18415260957921256,0.18401613817126722,0.0001364714079453433,-5.8123241208990484e-05,0.00033106605709967707,0.375,4,256,16
L256_existing_13,sparse_k30,delta_sp,median,delta1,0.7963817754394071,0.7964858489764468,-0.00010407353703967281,-0.00040734546141474315,0.00019919838733539752,0.625,4,256,16
L256_existing_13,sparse_k30,delta_sp,median,tce,0.03096588451420441,0.030954381263071942,1.1503251132467633e-05,-3.5036551685957776e-05,7.240572593027184e-05,0.875,4,256,16
L256_existing_13,sparse_k30,delta_sp,scaleshift,absrel,0.19561255925425772,0.19441006610908304,0.0012024931451746698,0.00010471090245188497,0.0031561246598297565,0.125,4,256,16
