model,source,sequence,clip_id,mean_ms,p50_ms,p95_ms,max_ms,repeat_min_ms,repeat_max_ms,peak_allocated_mib,state_mib,keyframes,dense_fallbacks,gmc_calls,gmc_fallbacks,frames,repeats
da2_256,bonn,rgbd_bonn_static_close_far,bonn:5,9.627539244252148,9.631620996515267,9.705731090798508,10.185331018874422,9.608905651475652,9.645898480357573,128.61474609375,0.0,0,0,0,0,256,5
sparse_k5,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.683082759103854,7.943722506752238,8.19129562296439,8.36757497745566,7.635977724589793,7.706818613996802,63.67822265625,13.5009765625,52,20,0,0,256,5
sparse_k5,bonn,rgbd_bonn_crowd2,bonn:0,7.7063362406534,7.646701502380893,7.975872793758754,8.146047999616712,7.575762624696836,7.740387786498104,63.67822265625,13.5009765625,52,89,0,0,256,5
sparse_k5,bonn,rgbd_bonn_person_tracking2,bonn:3,7.717534620496735,7.693053994444199,8.018344252195675,8.282616996439174,7.509922437634486,7.7704569700927095,63.67822265625,13.5009765625,52,66,0,0,256,5
sparse_k5,bonn,rgbd_bonn_static_close_far,bonn:5,7.348722281039954,7.706886011874303,8.07699918950675,8.294250001199543,7.1605357496764555,7.40783130413547,63.67822265625,13.5009765625,52,10,0,0,256,5
midas_192,tum,rgbd_dataset_freiburg3_walking_static,tum:0,9.957441326241678,10.015960011514835,10.159356337680947,14.811861998168752,9.929925074516177,9.996156336455897,154.56201171875,0.0,0,0,0,0,256,5
midas_192,bonn,rgbd_bonn_crowd2,bonn:0,9.82464097785396,9.827662506722845,9.997608355479315,11.028795997845009,9.783520101564136,9.884438328299439,154.56201171875,0.0,0,0,0,0,256,5
midas_192,bonn,rgbd_bonn_person_tracking2,bonn:3,9.740541601536279,9.774910504347645,9.955072462616954,11.025806015823036,9.59520218043508,9.829325922169119,154.56201171875,0.0,0,0,0,0,256,5
midas_192,bonn,rgbd_bonn_static_close_far,bonn:5,9.829398584383853,9.893741487758234,10.071745251480024,11.737255001207814,9.657405131292762,9.977909519648165,154.56201171875,0.0,0,0,0,0,256,5
dense_reset,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.645914594718306,7.644186000106856,7.699449454958085,11.451166996266693,7.622677546578416,7.658796296709625,49.42626953125,0.0,256,0,0,0,256,5
dense_reset,bonn,rgbd_bonn_crowd2,bonn:0,7.335861721526271,7.364142991718836,7.4698885044199415,8.61079100286588,7.159302995660255,7.387975387132428,49.42626953125,0.0,256,0,0,0,256,5
dense_reset,bonn,rgbd_bonn_person_tracking2,bonn:3,7.380394043730121,7.404175499686971,7.519759651040658,11.70314199407585,7.195562843890002,7.447732709010779,49.42626953125,0.0,256,0,0,0,256,5
dense_reset,bonn,rgbd_bonn_static_close_far,bonn:5,7.463314065103077,7.514399505453184,7.599499504431151,8.119378995615989,7.398241000259986,7.52774452439553,49.42626953125,0.0,256,0,0,0,256,5
midas_384,tum,rgbd_dataset_freiburg3_walking_static,tum:0,11.643124961415197,11.532204007380642,12.038358869904187,14.69617898692377,11.50499442792352,11.829495125425638,160.60791015625,0.0,0,0,0,0,256,5
