scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_all_13,midas_256,median,equal_sequence,5.100520082198642,3334.4668245847106,0.49922373083567423,4.888853284372645,7,4,13
L256_all_13,midas_256,scaleshift,balanced,0.17493786847103426,0.8081154871668379,0.7465009756812708,0.04668268762489181,0,0,13
L256_all_13,midas_256,scaleshift,equal_sequence,0.17832005338667956,0.7054029127558353,0.7342232426498351,0.04384708869084353,0,0,13
L256_all_13,midas_384,median,balanced,10.78819802303699,5367.582691553325,0.5428819257218774,11.149306653215296,10,9,13
L256_all_13,midas_384,median,equal_sequence,16.17543869681263,6658.866488799829,0.44217412255613,13.740956935050454,10,9,13
L256_all_13,midas_384,scaleshift,balanced,0.2114983930268282,0.9549655979477217,0.688315493957971,0.049954343053699495,0,0,13
L256_all_13,midas_384,scaleshift,equal_sequence,0.21217009053073763,0.8187131272189598,0.6692735244501966,0.046679733393490276,0,0,13
matched_timing_4x256,sparse_k5,none,balanced,0.17514148770085808,0.5870664826415801,0.8295656622862302,0.03727732663611523,0,0,4
matched_timing_4x256,sparse_k5,none,equal_sequence,0.21280185324712744,0.5050355452798615,0.782901219591108,0.03559350351316687,0,0,4
matched_timing_4x256,sparse_k5,median,balanced,0.1668570486361845,0.6032436069505469,0.8256032350646728,0.03852039234648923,0,0,4
matched_timing_4x256,sparse_k5,median,equal_sequence,0.19817791935906184,0.5092133281693364,0.7864496038752654,0.036088695680431736,0,0,4
matched_timing_4x256,sparse_k5,scaleshift,balanced,0.15347309415698215,0.6497347468137085,0.7826858749577761,0.03617516269790427,0,0,4
matched_timing_4x256,sparse_k5,scaleshift,equal_sequence,0.17291930985393233,0.5780487016827867,0.733842511611737,0.03706809476329848,0,0,4
matched_timing_4x256,sparse_k10,none,balanced,0.1776878400980454,0.6034625773902466,0.8221252898516126,0.03390438074417817,0,0,4
matched_timing_4x256,sparse_k10,none,equal_sequence,0.21638461908707202,0.52345367152462,0.7736143764991641,0.03318423804430044,0,0,4
matched_timing_4x256,sparse_k10,median,balanced,0.17184884623877453,0.6209598611486086,0.8167878793382822,0.035040717680491607,0,0,4
matched_timing_4x256,sparse_k10,median,equal_sequence,0.20366794468307997,0.5285227625655208,0.775579604982998,0.033675720641770615,0,0,4
matched_timing_4x256,sparse_k10,scaleshift,balanced,0.15391166213346447,0.6739291677292847,0.7804102659007717,0.0331992842799096,1,0,4
matched_timing_4x256,sparse_k10,scaleshift,equal_sequence,0.17276461490593878,0.6099837768803276,0.7337894143179247,0.03453875393399668,1,0,4
matched_timing_4x256,sparse_k30,none,balanced,0.1939829671525638,0.6557158812859609,0.8001252053628616,0.03360856784277387,0,0,4
matched_timing_4x256,sparse_k30,none,equal_sequence,0.23880157424009615,0.5776522694091919,0.7506171951039301,0.03301019685801055,0,0,4
matched_timing_4x256,sparse_k30,median,balanced,0.18731485053698843,0.6720756024590866,0.7941834128370615,0.0347083551217621,0,0,4
matched_timing_4x256,sparse_k30,median,equal_sequence,0.22051516474867108,0.5778629762418954,0.7507376921621384,0.03340947333754087,0,0,4
matched_timing_4x256,sparse_k30,scaleshift,balanced,0.1630095679927173,0.6888888380707526,0.7575670345683532,0.03217764614907964,0,0,4
matched_timing_4x256,sparse_k30,scaleshift,equal_sequence,0.17999271474981443,0.5964051756581583,0.7229075982690181,0.033233385797390956,0,0,4
matched_timing_4x256,sparse_k60,none,balanced,0.20386280427526524,0.6761792741940718,0.7881336426829096,0.03299070439765943,0,0,4
matched_timing_4x256,sparse_k60,none,equal_sequence,0.25823117322631056,0.61071441758531,0.7370984548274433,0.03269787647532043,0,0,4
matched_timing_4x256,sparse_k60,median,balanced,0.19690967601119913,0.6839064665817458,0.7802126602866868,0.03410850135562768,0,0,4
matched_timing_4x256,sparse_k60,median,equal_sequence,0.23464250258247793,0.6012817180482577,0.7344320699560383,0.03305987741062031,0,0,4
matched_timing_4x256,sparse_k60,scaleshift,balanced,0.16912551257371178,0.7083504464254149,0.7427984824952372,0.031644320675994216,0,0,4
matched_timing_4x256,sparse_k60,scaleshift,equal_sequence,0.19156772099878577,0.6175771021175366,0.7009602967781352,0.03254335568502192,0,0,4
matched_timing_4x256,dense_carry,none,balanced,0.18081530786702577,0.6098053757310931,0.835469437252389,0.028989998879025414,0,0,4
matched_timing_4x256,dense_carry,none,equal_sequence,0.21749478232823596,0.51112995361553,0.7909567613622865,0.02815534722042825,0,0,4
matched_timing_4x256,dense_carry,median,balanced,0.1675417536136703,0.6230645760900206,0.8342944316673669,0.029517541036318075,0,0,4
matched_timing_4x256,dense_carry,median,equal_sequence,0.1977665372437785,0.5127397274706439,0.7972982931005772,0.028243206541148456,0,0,4
