model,gauge,source,clip_id,sequence,first_rgb,absrel,failed,catastrophic,neg_frac,top5_within_source
dpt_official,median,bonn,bonn:354,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340596.51250.png,0.6003209352493286,True,False,8.756835995882284e-06,False
dpt_official,median,bonn,bonn:357,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340597.34996.png,1.1371456384658813,True,True,3.968464079662226e-05,False
dpt_official,median,bonn,bonn:358,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340597.61800.png,0.6624022722244263,True,False,1.3124134056852199e-05,False
dpt_official,median,bonn,bonn:359,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340597.88633.png,0.7787651419639587,True,False,1.7544552974868566e-05,False
dpt_official,median,bonn,bonn:360,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340598.15428.png,0.6037019491195679,True,False,6.623086846957449e-06,False
dpt_official,median,bonn,bonn:361,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340598.42235.png,1.0918394327163696,True,True,3.3197076845681295e-05,False
dpt_official,median,bonn,bonn:362,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340598.69048.png,0.6740595102310181,True,False,1.1041012839996256e-05,False
dpt_official,median,bonn,bonn:363,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340598.95857.png,3.4781930446624756,True,True,0.00015757468645460904,False
dpt_official,median,bonn,bonn:364,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340599.22665.png,1.9437323808670044,True,True,7.95997038949281e-05,False
dpt_official,median,bonn,bonn:365,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340599.49478.png,4.509798049926758,True,True,0.00020668595971073955,False
