model,source,sequence,read_decode_preprocess,h2d,detector,gmc,embedding,backbone,decoder,network_and_output_resize,d2h,profile_total_ms,other_ms
sparse_k5,bonn,rgbd_bonn_static_close_far,5.305481992081695,0.11282204434337473,0.09458548390739452,0.0,0.052954643933844636,1.4528217976703672,0.3519189367580111,0.0,0.05018341812501603,7.523192785470201,0.10242446865049715
midas_192,tum,rgbd_dataset_freiburg3_walking_static,6.521422257037557,0.06901280153215339,0.0,0.0,0.0,0.0,0.0,3.230653313607945,0.05288620604915195,9.901306077949812,0.027331499723004526
midas_192,bonn,rgbd_bonn_crowd2,6.308067643885806,0.06911831098932453,0.0,0.0,0.0,0.0,0.0,3.2403575575017385,0.05290939463975519,9.69796434719683,0.027511440180205682
midas_192,bonn,rgbd_bonn_person_tracking2,6.4564760891698825,0.06919065208421671,0.0,0.0,0.0,0.0,0.0,3.257363902889665,0.053350438065535855,9.863897533591626,0.027516451382325613
midas_192,bonn,rgbd_bonn_static_close_far,6.5255896471398955,0.06941221147371834,0.0,0.0,0.0,0.0,0.0,3.2492952428810895,0.05315975693065411,9.925152436608187,0.027695578182829195
dense_reset,tum,rgbd_dataset_freiburg3_walking_static,5.41547937825726,0.11173872667313844,0.0148492750895457,0.0,0.05555033692417055,1.7373505047544313,0.3478789755035905,0.0,0.049870791940520576,7.813503038960334,0.08078504981767765
dense_reset,bonn,rgbd_bonn_crowd2,5.161242519989173,0.11217228416171565,0.015284336200238613,0.0,0.055789172620279714,1.734655627956272,0.3469620864962053,0.0,0.04973907357452845,7.557134027024404,0.0812889260259908
dense_reset,bonn,rgbd_bonn_person_tracking2,5.189911889942778,0.11249339752339438,0.015635812360415002,0.0,0.05599229666586325,1.7371245897948029,0.3489144763761942,0.0,0.0496432927548085,7.591661898914026,0.08194614349577023
dense_reset,bonn,rgbd_bonn_static_close_far,5.2782715981720685,0.11294609043943638,0.015481397895200644,0.0,0.056010644470916304,1.7279407497881039,0.34634332075711427,0.0,0.0500708906656655,7.66856960512996,0.08150491294145468
midas_384,tum,rgbd_dataset_freiburg3_walking_static,7.824724124589011,0.20008232854706876,0.0,0.0,0.0,0.0,0.0,3.5271943308998743,0.05375515945615916,11.635341800229071,0.029585856736957794
midas_384,bonn,rgbd_bonn_crowd2,7.6174431769686635,0.20117646624839836,0.0,0.0,0.0,0.0,0.0,3.548592822653518,0.0539497808631495,11.451171818748662,0.030009572014932928
